Unnamed: 0,HLM002,HLM004,HLM007,HLM009,HLM010,HLM013,HLM014,HLM016,HLM017,HLM018,HLM025,HLM035,HLM036,HLM042,HLM044,HLM044.1,HLM048,HLM049,HLM051,HLM052,HLM057,HLM059,HLM062,HLM062.1,HLM063,HLM065,HLM067,HLM068,HLM069,HLM072,HLM073,HLM074,HLM074.1,HLM075,HLM076,HLM078,HLM080,HLM081,HLM082,HLM083,HLM085,HLM086,HLM087,HLM090,HLM096,HLM097,HLM097.1,HLM100,HLM109,HLM110,HLM112,HLM114,HLM116,HLM118,HLM119,HLM120,HLM122,HLM123,HLM124,HLM127,HLM130,HLM132,HLM135,HLM136,HLM137,HLM138,HLM140,HLM141,HLM142,HLM143,HLM144,HLM145,HLM146,HLM147,HLM148,HLM152,HLM155,HLM157,HLM161,HLM162,HLM163,HLM165,HLM166,HLM171,HLM172,HLM173,HLM174,HLM175,HLM176,HLM178,HLM179,HLM180,HLM183,HLM184,HLM184.1,HLM186,HLM187,HLM188,HLM189,HLM190
ENSG00000284616,8,30,4,0,40,0,2,3,0,112,0,57,21,19,0,1,0,4,0,0,7,11,0,0,0,2,5,0,15,9,39,124,0,71,14,12,0,19,0,0,10,2,5,24,0,0,14,0,39,0,15,0,1,3,0,32,4,3,11,0,0,8,0,10,32,0,20,49,24,0,0,0,18,0,0,0,42,83,13,6,6,24,7,3,0,11,5,0,0,0,11,23,0,93,31,1,20,0,12,15
ENSG00000279928,57,0,61,9,0,33,1,0,11,0,5,103,0,32,0,2,0,0,2,5,0,9,0,24,0,0,0,33,1,0,54,69,0,0,2,1,6,35,0,0,12,0,0,12,0,0,13,0,0,2,20,89,0,9,1,95,0,1,4,2,25,21,2,19,44,50,14,3,52,0,10,2,38,9,0,6,18,0,0,0,3,9,0,29,0,30,0,0,0,2,1,0,182,74,41,26,12,24,0,0
ENSG00000142611,10,0,85,7,0,0,1,12,0,0,0,132,0,45,2,0,9,0,1,0,0,10,0,12,0,7,0,50,0,9,25,25,42,56,0,1,0,53,37,0,0,0,13,8,34,0,4,5,0,1,23,0,16,10,4,38,25,0,18,9,47,0,12,3,31,13,13,0,21,17,6,0,2,4,24,33,0,86,4,0,19,54,39,30,0,13,8,0,0,23,9,2,92,64,44,22,4,1,8,23
ENSG00000284616,37,0,0,0,0,56,4,20,17,90,0,58,0,20,0,5,0,22,1,0,9,13,0,11,1,7,0,23,4,2,31,109,65,13,6,0,0,44,3,0,5,1,13,29,108,4,1,0,72,4,0,66,37,3,3,66,44,2,0,11,67,0,3,15,14,7,0,15,1,1,13,23,10,1,0,3,28,0,0,0,4,27,28,0,13,14,13,0,0,21,15,58,185,0,9,0,28,5,0,38
ENSG00000279928,20,0,60,7,1,22,0,8,0,88,0,127,140,53,2,0,7,21,0,3,17,13,7,25,40,18,0,4,27,3,14,0,0,0,5,2,0,36,47,8,0,18,11,0,0,0,20,12,46,7,0,53,21,9,0,129,20,1,0,25,45,0,1,22,2,0,48,0,0,53,0,0,0,6,50,21,0,0,15,0,4,1,24,0,13,35,2,73,21,15,4,41,43,181,7,0,0,0,0,0
ENSG00000228037,0,0,139,5,0,12,0,14,0,61,7,95,0,13,0,8,11,22,5,0,0,5,8,48,0,0,0,0,10,0,33,21,0,1,8,0,0,42,24,12,0,2,34,0,78,0,0,0,0,0,7,95,0,0,1,85,0,2,15,18,72,20,17,4,46,0,80,43,60,0,0,20,56,0,0,0,17,33,0,0,9,0,13,0,0,37,8,0,0,1,4,22,214,69,47,23,20,29,20,0
ENSG00000284616,9,0,0,4,31,19,0,1,0,0,5,19,41,34,0,8,6,8,2,3,4,0,1,11,9,5,5,37,0,0,46,79,28,33,0,0,7,4,16,15,2,12,3,12,4,0,0,0,0,0,15,98,29,6,6,0,0,1,11,4,0,46,17,15,0,56,13,0,0,0,3,0,0,4,16,14,82,21,1,93,3,41,11,29,4,14,2,6,7,0,0,11,173,14,17,5,31,18,0,18
ENSG00000284616,54,0,0,6,22,12,0,0,8,67,3,0,0,30,0,0,8,68,0,0,0,6,0,20,0,3,11,35,5,2,26,0,4,3,2,15,0,0,2,0,23,2,6,0,0,31,1,7,79,1,0,1,30,0,0,157,0,2,37,3,36,6,38,20,0,0,0,0,0,0,5,8,2,12,27,12,54,0,0,96,0,0,16,14,0,20,0,0,8,10,14,59,0,138,4,0,0,0,21,0
ENSG00000279928,10,22,20,0,31,46,1,8,0,0,0,0,51,0,0,0,0,0,0,1,12,15,2,6,36,1,0,31,0,9,29,117,0,9,2,4,5,0,35,0,5,7,3,0,90,31,0,4,5,0,29,20,0,17,6,9,0,0,0,10,35,11,33,10,8,34,22,42,23,0,0,0,0,8,12,0,80,0,7,1,0,2,8,34,12,0,9,15,3,25,2,0,136,35,38,11,0,32,0,35
ENSG00000228037,8,1,0,0,16,33,0,0,14,125,3,24,36,39,0,5,26,43,1,0,25,10,0,0,9,0,5,43,0,0,0,4,26,0,1,4,7,0,10,11,0,13,3,9,3,20,30,3,0,0,14,25,16,10,3,35,43,0,42,14,21,19,9,31,14,0,0,0,14,24,1,15,33,15,55,27,43,0,10,61,13,7,0,59,0,10,13,118,14,0,0,0,36,23,8,50,10,18,19,29
ENSG00000142611,7,14,111,13,0,27,0,7,5,0,10,19,6,6,1,4,8,0,2,0,6,14,0,19,15,8,7,29,5,13,52,2,0,12,5,5,0,0,8,11,6,0,13,31,31,7,7,6,0,0,0,19,0,0,6,13,45,0,0,0,0,24,16,8,26,24,37,0,9,61,6,2,36,5,77,16,0,39,9,0,0,0,60,15,2,0,12,37,5,19,10,25,20,0,23,0,40,16,0,37
ENSG00000157911,32,6,118,0,0,29,3,0,0,3,1,0,41,0,3,0,23,51,0,1,43,0,1,0,20,9,18,2,3,0,0,0,0,15,0,9,0,0,0,13,0,0,0,0,0,13,6,1,14,1,0,3,3,0,1,0,0,0,6,0,0,17,1,7,0,0,0,0,60,8,0,19,0,0,60,17,0,0,17,0,15,0,50,0,2,0,2,92,0,6,13,44,0,22,37,7,0,26,10,32
ENSG00000279928,0,0,0,0,30,34,2,16,0,0,0,0,0,50,3,2,10,34,0,3,8,15,2,0,19,8,2,0,7,0,68,22,0,5,16,4,4,0,33,7,0,6,0,33,0,7,8,8,86,3,12,28,17,8,4,0,33,2,0,5,0,0,13,10,0,14,0,53,21,66,3,0,0,9,20,21,0,6,0,86,2,7,13,13,0,0,9,0,0,0,7,19,0,38,0,45,47,7,8,17
ENSG00000157911,0,0,0,4,51,0,1,2,7,35,0,80,52,0,0,0,0,27,2,0,10,0,0,18,21,4,0,0,11,1,98,0,39,32,4,9,1,22,0,0,0,16,1,19,5,0,0,0,97,0,11,0,25,0,2,9,10,0,9,22,3,7,38,0,47,88,4,0,11,0,2,53,20,9,0,13,0,83,0,134,2,19,48,0,2,0,0,31,19,0,0,61,59,26,7,34,0,0,19,21
ENSG00000157911,0,16,0,10,36,25,1,0,4,116,9,0,0,44,7,3,8,0,0,4,45,3,1,14,33,0,6,0,0,0,19,0,0,0,0,2,6,2,30,27,8,4,5,0,0,0,17,0,74,1,0,3,5,0,0,0,20,2,0,9,53,32,32,1,74,3,0,23,54,0,5,24,25,4,57,0,38,0,16,82,0,0,35,0,6,0,0,41,16,0,5,33,81,0,5,50,46,44,0,15
ENSG00000279928,3,26,0,0,0,54,0,8,7,127,0,0,85,0,3,0,27,0,0,0,0,0,1,8,9,9,2,27,0,0,0,117,55,5,10,5,3,31,0,42,0,11,8,0,34,0,3,2,134,0,41,0,60,7,0,22,40,2,8,7,0,11,8,22,0,0,47,0,12,0,0,16,49,4,117,28,46,0,6,0,6,1,2,10,0,40,13,7,1,10,7,20,40,0,0,19,0,0,0,53
ENSG00000142611,53,0,89,8,14,72,0,0,2,40,0,25,0,40,1,0,8,27,0,5,21,10,1,19,4,1,3,44,4,10,25,74,20,22,0,7,13,38,17,2,13,15,11,11,40,22,0,0,75,1,1,9,7,0,7,50,0,0,0,0,6,4,10,20,15,0,39,34,16,0,6,15,31,8,0,4,96,0,5,38,9,37,0,11,11,19,13,0,19,0,19,41,58,104,34,21,61,0,0,60
ENSG00000279928,62,20,23,12,30,17,2,21,0,0,3,26,0,1,6,9,27,19,2,0,0,0,17,10,9,1,11,27,5,20,25,0,4,27,9,8,13,44,0,8,6,18,0,34,35,16,0,10,61,0,14,0,7,11,0,2,3,8,31,0,39,0,13,5,2,40,45,0,21,38,4,11,23,6,3,0,77,115,0,6,2,8,0,8,0,0,14,52,26,2,11,25,0,0,29,42,11,26,0,48
ENSG00000284616,2,0,74,16,44,0,3,22,12,34,1,0,14,27,0,0,13,47,3,4,0,5,0,19,4,13,0,62,0,8,6,24,13,8,0,0,6,19,0,17,0,0,18,15,102,10,0,0,29,0,21,79,32,11,0,102,30,0,45,0,18,18,0,23,12,0,40,0,33,0,4,10,11,0,21,0,0,32,16,0,0,62,0,0,0,13,10,26,0,4,23,22,130,0,42,0,47,29,0,42
ENSG00000284616,12,0,142,0,43,0,0,6,4,32,0,16,47,1,3,3,0,6,0,2,20,9,19,26,56,0,8,0,0,11,20,0,39,28,5,5,5,35,39,9,6,0,4,0,34,0,7,12,0,2,17,63,0,9,1,26,0,0,0,21,60,21,31,0,41,60,0,0,1,10,0,3,13,0,26,18,48,81,6,25,0,23,38,17,4,32,14,0,0,2,10,0,9,28,7,0,25,47,31,0
ENSG00000142611,0,4,108,18,59,0,2,18,3,33,0,122,49,26,0,3,3,5,1,0,29,15,5,18,0,3,0,39,11,0,28,42,23,17,0,4,9,6,15,17,0,1,6,0,18,19,1,0,0,0,45,9,42,0,0,0,40,0,0,0,18,15,2,7,70,71,0,0,0,22,10,5,11,0,54,0,94,16,1,141,3,16,0,49,5,1,4,5,0,8,20,50,126,43,13,9,34,15,0,50
ENSG00000142611,29,45,22,15,36,12,0,24,4,46,9,73,0,69,17,5,10,19,3,3,23,18,8,0,0,4,0,0,8,15,0,0,0,0,21,17,0,27,44,6,7,10,0,0,84,17,0,0,86,2,28,0,24,2,2,54,13,1,0,14,163,1,0,0,5,0,43,21,0,0,9,16,30,1,16,0,0,88,16,13,2,30,7,0,0,41,9,19,18,0,0,0,0,73,0,17,16,38,15,0
ENSG00000142611,0,0,0,0,25,0,2,30,0,11,0,20,34,28,4,0,7,26,2,1,39,0,5,42,9,10,0,26,0,1,31,0,23,0,0,3,8,23,23,0,9,11,14,48,0,16,4,7,33,1,27,0,19,0,5,0,0,2,82,16,68,2,38,0,0,0,4,19,22,0,0,0,34,0,34,29,37,0,23,3,1,1,0,6,8,16,3,134,16,4,24,27,135,4,10,29,66,14,0,14
ENSG00000228037,14,5,56,15,5,28,1,0,17,127,2,54,0,17,3,6,21,6,4,1,8,1,0,26,13,7,10,0,8,0,46,189,0,20,0,6,0,16,12,21,1,0,2,0,0,33,12,14,0,0,12,49,0,11,0,51,34,4,0,11,0,0,0,13,7,0,33,53,14,0,0,15,13,7,1,0,104,60,2,79,2,4,25,17,5,36,0,0,9,0,16,11,213,0,8,11,54,19,0,14
ENSG00000157911,48,0,94,5,1,6,0,4,0,10,3,34,0,10,6,5,2,34,4,3,55,10,0,0,16,4,0,0,0,11,0,134,15,0,0,8,0,5,20,0,0,0,1,14,18,3,0,1,71,1,33,0,14,12,3,3,0,2,23,16,31,0,16,0,10,67,0,37,13,10,0,9,0,0,17,24,0,46,15,120,3,37,3,0,0,0,3,0,23,0,34,20,59,0,2,6,11,30,0,16
ENSG00000284616,10,21,0,0,3,38,0,9,12,0,1,168,0,6,0,5,22,31,0,3,0,3,0,18,11,7,10,25,0,11,41,141,0,20,7,0,6,0,24,50,0,0,10,16,28,16,10,0,0,0,4,0,0,0,1,3,0,6,17,5,0,0,7,0,32,0,0,0,0,0,1,1,0,0,25,0,41,14,13,113,12,0,30,12,7,34,0,21,8,3,1,0,44,76,16,0,0,8,15,38
ENSG00000284616,0,86,57,16,0,43,0,11,6,8,14,0,105,32,0,0,0,71,0,0,14,0,2,38,0,3,0,0,7,6,43,0,1,4,11,1,1,46,64,3,0,0,0,11,0,8,1,0,0,2,14,59,0,18,0,60,21,1,0,0,0,0,7,6,8,70,0,10,26,3,0,0,21,1,81,23,36,0,0,0,11,0,83,0,0,0,13,0,6,1,5,0,57,78,4,25,69,13,36,0
ENSG00000157911,7,38,120,0,17,22,0,4,8,0,0,64,21,0,0,0,10,39,3,1,34,0,0,16,0,15,0,24,12,5,4,110,9,41,10,10,12,50,15,0,17,0,0,34,69,0,15,0,19,2,41,12,39,24,0,4,0,0,8,0,38,0,31,20,0,101,0,0,33,0,7,8,6,0,0,36,68,104,6,1,3,0,20,13,0,20,0,23,18,1,25,0,294,0,44,34,0,23,17,0
ENSG00000142611,75,0,94,40,22,11,1,10,19,0,0,0,0,53,0,5,0,42,0,0,0,18,1,13,0,3,14,0,0,3,0,26,0,51,0,13,10,0,0,35,17,9,0,6,0,13,11,11,73,0,9,2,19,6,3,0,21,6,35,4,16,0,0,16,1,40,0,65,33,11,9,23,0,0,2,20,9,5,0,0,7,0,0,0,29,15,0,13,0,0,9,0,100,74,26,27,10,0,3,0
ENSG00000279928,43,17,77,30,0,40,2,20,8,30,11,114,0,49,0,0,23,63,4,3,15,1,2,18,10,0,9,16,0,0,21,41,0,14,14,2,11,56,0,0,6,0,13,10,0,0,0,0,9,0,25,60,0,2,8,28,57,0,0,22,49,4,6,0,24,72,0,13,45,0,2,13,35,0,0,3,25,48,1,22,9,38,19,2,5,0,8,34,1,0,16,20,11,28,8,38,21,37,2,7
ENSG00000142611,41,8,0,0,0,41,0,7,0,100,10,65,39,51,0,0,0,35,0,0,0,7,0,0,1,19,6,7,9,14,22,0,26,24,10,0,1,25,0,0,0,22,0,21,0,1,0,2,0,4,0,0,76,16,5,4,12,2,11,13,60,0,18,1,1,0,0,0,23,0,0,0,31,17,1,0,0,56,12,55,10,0,5,13,9,0,11,0,4,30,6,29,0,95,50,49,0,7,0,0
ENSG00000228037,8,6,0,15,0,40,0,20,11,9,0,0,86,5,0,3,0,23,1,4,12,5,10,15,0,0,0,0,2,0,22,64,29,0,0,11,2,5,0,10,0,11,3,34,19,8,0,0,39,7,11,0,0,8,0,97,0,0,14,8,0,0,0,12,30,7,0,0,0,29,0,1,3,3,57,0,38,41,7,68,0,0,12,18,12,24,3,0,1,0,0,13,0,23,0,0,66,24,0,0
ENSG00000279928,70,16,15,5,25,0,0,7,5,47,7,0,28,13,12,2,0,11,0,2,2,0,0,23,16,16,0,19,0,5,3,102,25,17,20,0,9,24,30,0,0,10,3,0,78,17,10,0,12,2,33,16,0,10,1,106,0,0,0,7,0,12,11,0,11,72,0,0,19,9,9,27,33,0,13,4,0,34,3,64,2,3,9,0,0,0,2,85,0,7,10,41,80,0,9,0,21,0,11,0
ENSG00000157911,45,0,0,0,45,0,3,17,0,0,8,0,0,28,3,1,0,0,0,0,27,0,0,29,2,7,17,9,0,10,0,0,30,0,6,11,17,97,0,8,12,0,0,6,93,31,15,0,75,3,30,0,18,16,0,0,0,1,0,0,29,0,0,8,25,39,0,74,1,0,9,16,0,4,0,25,0,2,9,31,4,16,12,3,0,0,6,69,1,23,0,15,17,0,34,0,56,16,21,18
ENSG00000142611,32,0,67,0,17,13,2,14,0,0,3,0,42,0,0,1,5,0,3,2,6,2,8,7,0,25,0,8,0,0,26,0,32,0,14,6,0,35,0,0,2,5,11,7,48,0,23,13,3,0,10,0,16,3,0,19,16,0,2,7,0,19,29,8,8,17,62,3,57,0,11,12,58,11,0,19,0,37,10,28,6,0,0,0,0,38,14,0,0,0,0,0,0,84,26,36,71,17,36,0
ENSG00000157911,15,17,99,28,46,44,1,25,30,132,0,54,0,4,0,8,8,35,0,2,0,5,4,35,4,1,4,6,13,5,10,55,3,0,0,15,10,0,23,25,1,8,22,16,39,13,0,0,59,6,18,8,6,8,0,151,25,3,0,18,0,1,5,23,4,0,14,47,0,0,0,0,62,0,31,18,93,12,3,0,0,64,0,0,30,34,21,65,0,8,24,64,168,61,0,25,4,0,14,44
ENSG00000142611,1,21,32,0,44,21,1,9,6,0,0,7,64,7,7,0,0,26,1,2,20,6,10,0,9,0,0,24,0,0,0,33,48,0,0,7,2,0,8,11,2,0,0,28,40,0,0,0,88,4,0,4,42,9,1,25,15,0,38,12,57,18,16,21,0,0,0,2,10,0,0,0,29,8,13,7,73,55,8,48,1,40,16,48,1,28,1,98,24,12,11,14,40,124,39,69,75,19,28,0
ENSG00000279928,0,26,60,0,0,17,1,3,0,0,9,17,87,12,0,4,0,2,2,0,10,2,0,0,3,0,8,0,0,16,50,0,13,0,0,1,0,0,27,9,1,0,0,0,26,19,3,6,44,0,24,0,0,0,4,145,17,1,1,8,0,0,35,17,52,47,9,70,26,37,0,9,58,0,0,13,4,54,16,61,1,19,0,0,1,38,0,17,17,10,24,68,70,0,31,19,53,8,11,12
ENSG00000284616,0,27,113,19,0,0,2,0,6,7,6,107,1,44,0,5,5,18,2,3,3,0,4,0,29,0,8,19,3,9,0,107,20,76,2,7,5,96,67,46,5,1,25,1,49,11,0,0,47,3,0,32,19,13,0,58,21,3,0,3,44,8,0,12,0,0,0,0,0,43,6,0,32,0,3,13,43,35,0,0,4,0,0,47,0,24,11,72,0,0,11,0,134,68,25,13,0,28,0,54
ENSG00000157911,8,0,0,15,29,30,0,22,5,0,3,147,103,42,0,0,3,43,0,0,0,0,5,21,35,14,3,0,0,8,11,9,0,23,0,15,1,54,0,4,0,2,0,19,0,0,9,5,0,0,7,50,38,0,0,9,0,1,0,0,51,22,15,15,0,41,0,0,2,0,2,0,15,0,31,2,7,55,20,0,19,0,0,0,13,39,6,33,0,22,10,80,0,134,54,29,0,0,0,42
ENSG00000284616,13,0,220,11,25,4,0,9,0,0,4,136,12,20,0,0,0,42,0,2,0,12,0,0,15,1,1,32,3,6,16,0,0,47,5,8,9,45,0,0,5,0,7,34,0,0,9,2,52,0,5,0,0,0,2,0,0,3,13,0,23,0,23,9,10,0,21,0,0,0,3,21,32,1,3,0,31,25,12,3,0,39,19,12,3,36,6,38,0,27,11,58,23,194,17,23,4,8,0,12
ENSG00000284616,6,42,151,0,17,23,0,7,3,0,6,0,0,16,0,3,0,53,1,0,13,0,0,1,0,1,0,0,2,16,0,121,12,0,10,9,0,24,15,0,10,11,0,9,67,0,9,3,57,2,0,22,21,7,7,0,19,0,49,18,25,19,29,7,0,57,13,14,34,39,5,31,62,11,0,12,26,30,0,100,11,0,19,0,0,21,0,0,18,0,3,3,0,15,0,39,0,2,0,17
ENSG00000284616,20,0,36,0,0,0,1,0,21,82,9,0,103,16,0,3,18,0,3,0,4,0,2,30,14,14,2,13,1,0,1,72,1,0,0,1,1,32,0,10,0,3,0,14,0,7,2,4,104,0,0,55,5,0,0,42,39,1,0,12,93,0,0,5,19,42,37,60,3,34,0,13,38,6,0,5,106,33,0,0,5,0,43,0,0,0,17,96,5,17,17,2,45,0,11,28,0,12,26,29
ENSG00000228037,16,0,101,4,2,0,2,1,4,0,10,17,69,0,0,0,0,5,0,6,33,0,4,3,32,4,0,10,2,0,0,95,52,0,0,15,0,0,0,7,0,4,0,14,43,15,5,0,52,3,27,1,5,0,2,0,12,4,0,24,0,16,23,23,19,93,0,0,7,0,5,10,8,3,48,0,6,0,13,101,6,0,0,30,13,0,0,52,21,0,0,13,0,8,17,51,23,29,35,15
ENSG00000157911,4,11,99,3,6,58,0,18,0,0,5,94,0,33,11,0,17,10,0,0,50,18,6,15,0,4,8,0,13,0,15,134,40,10,5,0,0,0,67,1,3,0,0,0,0,0,0,10,64,5,0,0,28,0,0,0,0,5,0,7,0,6,25,16,19,12,0,57,20,27,0,8,0,0,51,0,0,2,8,135,3,18,50,0,0,0,7,17,15,16,14,1,0,0,35,10,80,6,0,0
ENSG00000284616,8,17,107,0,11,25,2,17,0,0,0,23,0,14,0,1,1,0,0,0,49,10,13,10,15,18,0,9,8,2,15,0,36,6,0,6,10,32,36,0,0,14,25,38,0,0,13,4,64,1,5,18,0,0,0,0,26,0,44,7,0,0,8,9,85,83,0,16,0,52,0,21,29,13,0,15,50,0,19,13,16,0,10,26,0,27,0,4,0,6,10,38,29,0,11,25,70,0,19,12
ENSG00000284616,0,23,0,5,5,32,0,10,0,0,4,175,72,0,0,0,18,0,1,2,21,8,4,26,0,9,0,48,3,11,32,86,0,0,9,0,3,50,0,0,8,0,23,5,48,22,18,3,40,0,19,59,0,0,0,0,30,0,64,25,70,6,30,12,0,14,53,3,10,0,10,6,0,8,0,4,10,52,14,130,7,0,0,2,0,0,19,38,29,11,32,30,0,0,21,32,0,20,12,20
ENSG00000228037,31,37,140,0,21,35,0,0,5,11,0,66,0,13,3,1,2,42,1,7,46,2,0,21,15,0,1,37,1,0,60,27,68,0,3,2,0,0,3,0,12,2,21,10,19,0,16,13,66,1,9,47,29,9,0,83,7,6,6,14,88,32,48,24,0,0,54,0,41,0,8,0,52,0,39,39,44,45,18,0,14,0,0,28,0,17,0,0,14,20,20,1,110,62,28,22,0,50,0,3
ENSG00000284616,0,56,0,10,1,0,0,29,7,0,11,0,0,0,0,0,19,0,3,5,87,11,2,36,16,12,0,0,0,0,25,0,12,0,9,0,0,18,21,6,1,13,0,21,0,31,12,0,20,0,12,0,5,0,6,0,41,4,6,15,24,16,1,0,53,0,0,0,0,14,0,3,12,8,26,0,48,61,0,171,0,9,0,44,12,0,0,0,18,0,14,21,10,21,19,7,60,38,0,0
ENSG00000279928,0,66,23,0,0,15,3,7,8,12,13,4,48,0,12,5,0,0,1,10,56,0,7,37,0,6,0,6,1,0,48,0,0,31,18,14,21,0,33,2,1,16,11,29,37,14,0,0,14,0,22,16,22,5,1,0,16,3,67,3,7,0,0,13,0,0,114,50,0,3,4,21,5,6,22,0,9,0,10,56,3,0,6,2,14,60,0,8,10,20,7,39,112,0,0,0,43,0,7,0
ENSG00000142611,33,0,0,0,16,4,3,14,0,0,7,0,0,10,0,5,11,0,0,4,18,0,0,9,3,0,13,42,4,13,54,0,3,0,0,4,6,9,29,23,0,16,0,14,63,56,4,5,153,3,0,22,13,4,9,83,30,5,75,6,15,0,19,0,36,0,0,63,18,27,0,7,15,0,0,6,59,58,17,81,11,15,24,13,25,0,0,39,30,0,9,0,128,176,18,56,22,29,25,24
ENSG00000157911,7,8,212,22,24,2,0,9,16,91,1,0,86,22,7,0,0,87,0,0,80,3,0,11,3,4,0,44,0,0,0,74,0,18,2,2,5,26,0,0,0,0,9,31,15,0,4,0,110,5,13,107,16,8,0,0,52,3,32,8,23,0,15,19,39,48,3,38,21,18,4,3,14,11,37,0,26,2,15,0,4,0,27,21,6,0,20,42,0,0,2,45,109,26,0,9,0,36,0,47
